#  foam_annealed3_s2.fe
  D_time     energy      minL    scale         p cells
    0.5400  5.2965274  0.027714   2.2425  0.003721  1000
    0.5400  5.2965274  0.026118   2.0932  0.003721  1000
#
    0.5500  5.2959096  0.021219   4.5230  0.003839  1000
    0.5500  5.2959089  0.000775   7.4999  0.003839  1000
#
    0.5500  5.2959482  0.037401  41.2441  0.003839  1000
    0.5500  5.2959193  0.004968  22.3558  0.003839  1000
#
    0.5500  5.2959204  0.008034  26.1737  0.003839  1000
#
    0.5500  5.2958907  0.079828  63.1352  0.003839  1000
    0.5500  5.2958503  0.078257  58.9004  0.003839  1000
    0.5500  5.2958416  0.078429  52.8200  0.003839  1000
    0.5500  5.2958376  0.077533  55.4580  0.003839  1000
    0.5500  5.2958350  0.077307  38.7774  0.003839  1000
    0.5500  5.2958337  0.076992  49.9360  0.003839  1000
#
# nndmp := 2
    0.5600  5.2952505  0.067289  65.9337  0.003959  1000
    0.5600  5.2952234  0.070812  61.0623  0.003959  1000
    0.5600  5.2952163  0.071263  57.7812  0.003959  1000
    0.5600  5.2952128  0.070014  65.0755  0.003959  1000
    0.5600  5.2952103  0.070259  41.5010  0.003959  1000
    0.5600  5.2952091  0.069675  45.1042  0.003959  1000
#
    0.5700  5.2945818  0.061428  35.2583  0.004082  1000
    0.5700  5.2945811  0.060014  29.8731  0.004082  1000
    0.5700  5.2945807  0.056923  35.3664  0.004082  1000
    0.5700  5.2945800  0.052313  17.5809  0.004082  1000
    0.5700  5.2945797  0.048541  22.5086  0.004082  1000
    0.5700  5.2945795  0.045740  19.1201  0.004082  1000
#
    0.5800  5.2939502  0.035585  16.8334  0.004207  1000
    0.5800  5.2939498  0.004408  11.0432  0.004207  1000
#
    0.5800  5.2939792  0.060346  66.0198  0.004207  1000
    0.5800  5.2939390  0.052374  62.3782  0.004207  1000
    0.5800  5.2939301  0.052269  52.9172  0.004207  1000
    0.5800  5.2939260  0.050501  63.9130  0.004207  1000
    0.5800  5.2939226  0.050388  38.1655  0.004207  1000
    0.5800  5.2939213  0.049331  44.8654  0.004207  1000
#
# nndmp := 3
    0.5900  5.2933308  0.051622  67.6702  0.004334  1000
    0.5900  5.2933029  0.039120  55.5651  0.004334  1000
    0.5900  5.2932955  0.040053  47.8248  0.004334  1000
    0.5900  5.2932921  0.036740  44.8367  0.004334  1000
    0.5900  5.2932899  0.036708  35.1541  0.004334  1000
    0.5900  5.2932885  0.035243  47.0689  0.004334  1000
#
    0.6000  5.2926523  0.022009  37.3597  0.004464  1000
    0.6000  5.2926516  0.017601  36.2794  0.004464  1000
    0.6000  5.2926510  0.010056  30.8289  0.004464  1000
    0.6000  5.2926506  0.002813  19.7122  0.004464  1000
#
    0.6000  5.2926605  0.009683  19.8184  0.004464  1000
#
    0.6000  5.2925617  0.079932  63.0540  0.004464  1000
    0.6000  5.2925290  0.083992  55.9694  0.004464  1000
    0.6000  5.2925195  0.080775  50.4296  0.004464  1000
    0.6000  5.2925156  0.082528  54.5686  0.004464  1000
    0.6000  5.2925127  0.080360  35.4485  0.004464  1000
    0.6000  5.2925112  0.081505  42.2183  0.004464  1000
#
# nndmp := 4
    0.6100  5.2919097  0.072517  62.5395  0.004596  1000
    0.6100  5.2918820  0.073279  59.4193  0.004596  1000
    0.6100  5.2918732  0.072343  53.6821  0.004596  1000
    0.6100  5.2918694  0.074410  58.3843  0.004596  1000
    0.6100  5.2918672  0.072893  44.9713  0.004596  1000
    0.6100  5.2918657  0.074039  31.6135  0.004596  1000
#
    0.6200  5.2912174  0.065832  35.9973  0.004731  1000
    0.6200  5.2912168  0.064767  30.8526  0.004731  1000
    0.6200  5.2912163  0.063566  20.5009  0.004731  1000
    0.6200  5.2912159  0.063332  27.0652  0.004731  1000
    0.6200  5.2912156  0.063076  27.3490  0.004731  1000
    0.6200  5.2912152  0.062265  15.5899  0.004731  1000
#
    0.6300  5.2905650  0.057129  27.5361  0.004868  1000
    0.6300  5.2905646  0.049937  18.3087  0.004868  1000
    0.6300  5.2905645  0.047559  21.2541  0.004868  1000
    0.6300  5.2905643  0.044211  12.0657  0.004868  1000
    0.6300  5.2905643  0.042494  18.2441  0.004868  1000
    0.6300  5.2905641  0.036218  20.2277  0.004868  1000
#
    0.6400  5.2899111  0.026977  13.3227  0.005008  1000
    0.6400  5.2899107  0.004518  11.8687  0.005008  1000
#
    0.6400  5.2900061  0.003558  15.5769  0.005008  1000
#
    0.6400  5.2899062  0.092766  68.7002  0.005008  1000
    0.6400  5.2898693  0.093992  59.0622  0.005008  1000
    0.6400  5.2898607  0.092261  50.3665  0.005008  1000
    0.6400  5.2898559  0.094037  61.9636  0.005008  1000
    0.6400  5.2898535  0.092506  45.0353  0.005008  1000
    0.6400  5.2898521  0.093424  48.0642  0.005008  1000
#
# nndmp := 5
    0.6500  5.2892301  0.095023  69.6149  0.005150  1000
    0.6500  5.2892059  0.091737  59.7224  0.005150  1000
    0.6500  5.2891986  0.092715  59.6787  0.005150  1000
    0.6500  5.2891942  0.092119  45.2964  0.005150  1000
    0.6500  5.2891923  0.092236  46.6871  0.005150  1000
    0.6500  5.2891911  0.091847  37.8914  0.005150  1000
#
    0.6600  5.2885276  0.090839  41.8170  0.005295  1000
    0.6600  5.2885267  0.091133  35.7903  0.005295  1000
    0.6600  5.2885263  0.090059  29.7154  0.005295  1000
    0.6600  5.2885259  0.090607  25.6442  0.005295  1000
    0.6600  5.2885255  0.089774  22.3924  0.005295  1000
    0.6600  5.2885253  0.089906  27.9094  0.005295  1000
#
    0.6700  5.2878597  0.082436  25.1147  0.005442  1000
    0.6700  5.2878595  0.078992  27.8615  0.005442  1000
    0.6700  5.2878593  0.075732  14.4771  0.005442  1000
    0.6700  5.2878591  0.073038  11.0641  0.005442  1000
    0.6700  5.2878590  0.071723  11.1688  0.005442  1000
    0.6700  5.2878589  0.070175  18.1660  0.005442  1000
#
    0.6800  5.2871901  0.060413  19.5659  0.005591  1000
    0.6800  5.2871899  0.050922  13.2404  0.005591  1000
    0.6800  5.2871897  0.038255  22.9807  0.005591  1000
    0.6800  5.2871885  0.000540   4.5432  0.005591  1000
#
    0.6800  5.2872160  0.088041  68.8249  0.005591  1000
    0.6800  5.2871755  0.084824  51.3971  0.005591  1000
    0.6800  5.2871659  0.085058  53.7642  0.005591  1000
    0.6800  5.2871614  0.085276  53.2981  0.005591  1000
    0.6800  5.2871579  0.085040  40.7467  0.005591  1000
    0.6800  5.2871566  0.084976  41.6534  0.005591  1000
#
# nndmp := 6
    0.6900  5.2865202  0.087267  67.1009  0.005744  1000
    0.6900  5.2864945  0.084099  59.3593  0.005744  1000
    0.6900  5.2864869  0.084857  58.6494  0.005744  1000
    0.6900  5.2864831  0.084311  51.4856  0.005744  1000
    0.6900  5.2864810  0.084384  45.2301  0.005744  1000
    0.6900  5.2864796  0.084078  35.1053  0.005744  1000
#
    0.7000  5.2857993  0.082918  45.3677  0.005899  1000
    0.7000  5.2857984  0.083467  30.4340  0.005899  1000
    0.7000  5.2857980  0.083040  29.9433  0.005899  1000
    0.7000  5.2857976  0.083315  33.5268  0.005899  1000
    0.7000  5.2857972  0.082971  25.4048  0.005899  1000
    0.7000  5.2857969  0.083068  30.4513  0.005899  1000
#
    0.7100  5.2851145  0.081877  34.6915  0.006057  1000
    0.7100  5.2851142  0.082101  19.0238  0.006057  1000
    0.7100  5.2851140  0.082124  17.3216  0.006057  1000
