step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam104, 95.87939698492463, 13.336683417085426, 0.10335574790732438, 1.061865130501386, 1.9678
foam105, 95.67839195979899, 13.328643216080401, 0.1057046852411434, 1.0621997413899669, 1.9778
foam106, 96.17706237424547, 13.319919517102615, 0.10770079492610751, 1.0635248711637257, 1.98751
foam107, 95.66968781470293, 13.31520644511581, 0.11201072578025517, 1.0639597105601777, 2.00601
foam108, 96.16935483870968, 13.318548387096774, 0.11213217213350202, 1.0650726113176623, 2.00795
foam109, 96.3673057517659, 13.30978809283552, 0.11532227024313002, 1.066950998436613, 2.02153
foam110, 96.3673057517659, 13.289606458123108, 0.11808244822978087, 1.067261995678722, 2.03153
foam111, 96.3673057517659, 13.287588294651867, 0.12062889986246361, 1.0675316000982187, 2.04153
foam112, 95.35822401614531, 13.259334006054491, 0.12364137351014404, 1.0679259738490903, 2.05153
foam113, 93.73737373737374, 13.21010101010101, 0.12860277663851094, 1.0686113836723101, 2.06995
foam114, 93.73104145601617, 13.211324570273003, 0.12880024808378066, 1.069780115442639, 2.07209
foam115, 94.23076923076923, 13.210526315789474, 0.1291810071774988, 1.070886502433033, 2.0747
foam116, 93.92712550607287, 13.190283400809717, 0.13211041338834084, 1.070583710001281, 2.0847
foam117, 93.82591093117408, 13.178137651821862, 0.13509774249281636, 1.0707183828407647, 2.0947
foam118, 93.41438703140831, 13.16919959473151, 0.1363132813699477, 1.071408738453868, 2.09976
foam119, 93.91480730223124, 13.172413793103448, 0.1360216614647476, 1.0720132154937023, 2.09981
foam120, 94.11167512690355, 13.175634517766497, 0.13748459103871946, 1.0734156652877256, 2.10604
foam121, 92.58883248730965, 13.149238578680203, 0.14077830205468156, 1.0727268039713622, 2.11604
foam122, 92.58130081300813, 13.136178861788618, 0.14336328819033506, 1.073306105593114, 2.12541
foam123, 92.87894201424211, 13.121057985757885, 0.14532727251472433, 1.0744114858523242, 2.13266
foam124, 93.27902240325867, 13.118126272912424, 0.14703969593004418, 1.0760922458731037, 2.13925
foam125, 92.76985743380855, 13.09775967413442, 0.1504349001207559, 1.07653176710051, 2.13925
foam126, 92.9735234215886, 13.10183299389002, 0.15034833784994595, 1.076662731062809, 2.14925
foam127, 91.64118246687055, 13.08868501529052, 0.15172711410315776, 1.0775828424058536, 2.15428
foam128, 89.80632008154944, 13.060142711518859, 0.1551327747092357, 1.077639550206983, 2.16428
foam129, 88.37920489296636, 13.033639143730888, 0.1583911603618624, 1.0772868015663388, 2.17428
foam130, 88.46938775510203, 13.018367346938776, 0.1613618510109509, 1.077482282124432, 2.18259
foam131, 88.8661899897855, 13.017364657814095, 0.16204387101465278, 1.0787773958204019, 2.18573
foam132, 89.36605316973414, 13.020449897750511, 0.1637041001595574, 1.0802511776218675, 2.19164
foam133, 89.95901639344262, 13.010245901639344, 0.16551075893727307, 1.0828968202390028, 2.19904
foam134, 90.05128205128206, 13.007179487179487, 0.16576476209857782, 1.0841346163279386, 2.20084
foam135, 89.63039014373717, 13.0, 0.16637349954155, 1.0855227793505429, 2.2035
foam136, 89.21971252566735, 12.973305954825461, 0.17040000742642492, 1.0853166477577971, 2.2135
foam137, 88.7063655030801, 12.950718685831623, 0.1740423331718417, 1.0860165480905435, 2.2235
foam138, 88.0781089414183, 12.920863309352518, 0.17550087577128615, 1.086778806927995, 2.22733
foam139, 89.0608875128999, 12.924664602683178, 0.17896997579932705, 1.0914985986113481, 2.24059
foam140, 88.22314049586777, 12.915289256198347, 0.17963524460585578, 1.0926713084952535, 2.24321
foam141, 87.5776397515528, 12.884057971014492, 0.182297487861381, 1.0943313281918716, 2.25163
foam142, 87.97927461139896, 12.889119170984456, 0.1840856400256956, 1.0955948796335653, 2.25748
foam143, 88.99273104880582, 12.895119418483905, 0.1851764133983098, 1.0977304264381784, 2.26218
foam144, 88.56548856548856, 12.852390852390853, 0.1873640588624259, 1.0989778158805852, 2.26791
foam145, 88.55359001040583, 12.84703433922997, 0.1876478114123472, 1.0983874643600153, 2.27051
foam146, 89.25964546402503, 12.848800834202294, 0.1899673739738832, 1.1007147153321584, 2.27839
foam147, 89.35281837160751, 12.845511482254697, 0.1908866538409022, 1.100362344781505, 2.2821
foam148, 89.86415882967607, 12.83385579937304, 0.1927211193104983, 1.1000580436931195, 2.28681
foam149, 91.0901467505241, 12.846960167714885, 0.19440094960461796, 1.1035955760420917, 2.29409
foam150, 91.39559286463799, 12.845750262329485, 0.1961581055878565, 1.1047097788555305, 2.29915
foam151, 91.91176470588235, 12.850840336134453, 0.19621049584508055, 1.10595715700646, 2.30034
foam152, 90.4311251314406, 12.828601472134595, 0.1982177714365605, 1.1074518420053765, 2.30598
foam153, 90.83245521601685, 12.828240252897787, 0.1993844653465462, 1.1103626173136847, 2.3106
foam154, 90.09483667017913, 12.80927291886196, 0.20350711262955556, 1.1104076861307233, 2.3206
