cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
13, 3, 37, 33, 66, 45, 20, 32, 12, 26, 34, 19, 18, 10, 9, 7, 8, 8, 6, 7, 3, 2, 23, 7, 983, 407
12, 3, 38, 33, 67, 48, 21, 33, 11, 26, 32, 17, 19, 10, 8, 6, 8, 7, 6, 7, 3, 2, 22, 7, 982, 408
13, 3, 39, 32, 69, 46, 22, 37, 12, 26, 35, 18, 19, 8, 8, 6, 7, 5, 5, 7, 4, 3, 16, 8, 982, 418
12, 4, 39, 33, 68, 47, 22, 36, 12, 26, 35, 18, 19, 9, 8, 6, 8, 7, 6, 7, 3, 3, 17, 7, 982, 416
16, 3, 36, 33, 72, 46, 22, 37, 13, 23, 35, 20, 20, 7, 8, 6, 7, 5, 5, 8, 5, 3, 15, 7, 981, 419
20, 2, 37, 34, 72, 51, 17, 34, 13, 20, 32, 20, 19, 6, 8, 6, 5, 4, 3, 7, 5, 3, 17, 8, 981, 422
23, 2, 37, 38, 66, 53, 16, 33, 12, 19, 32, 18, 16, 6, 8, 6, 5, 4, 2, 9, 5, 3, 15, 8, 981, 427
24, 1, 40, 38, 66, 53, 15, 33, 14, 18, 32, 20, 17, 6, 8, 7, 4, 5, 2, 11, 4, 2, 14, 8, 980, 420
23, 1, 42, 38, 65, 53, 15, 33, 13, 18, 34, 19, 16, 6, 7, 7, 4, 6, 3, 11, 4, 2, 13, 8, 979, 419
22, 1, 42, 38, 65, 55, 15, 35, 12, 18, 32, 18, 16, 6, 7, 7, 4, 6, 3, 11, 4, 2, 12, 8, 978, 419
21, 0, 46, 38, 65, 53, 15, 36, 12, 18, 31, 21, 15, 6, 7, 7, 4, 5, 4, 10, 3, 2, 10, 8, 976, 416
21, 0, 46, 38, 65, 54, 15, 35, 12, 18, 31, 21, 15, 7, 7, 7, 4, 5, 4, 10, 3, 2, 10, 8, 975, 413
22, 0, 45, 39, 66, 58, 15, 32, 12, 17, 30, 19, 14, 6, 7, 6, 4, 5, 4, 10, 3, 2, 11, 9, 974, 414
